Report generated on: 09-17-2020 15:54:42
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.53-1-DJI-TBPD.A","        Djibouti","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-DMA-TBPD.A","        Dominica","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-DOM-TBPD.A","        Dominican Republic","","","","","","","","1","1","1","1","1","1","-0.2","0.0435133825863016","0.0371532626000001","0.0904710671232876","-0.1","-0.2","-0.9","-0.5","-0.4","-1","-0.9","-1","-1","-0.4","-0.154269661311475","-0.0947265027068492","-0.0670248840109591","0.0119472391013699","-0.448665920748634","-0.389","-0.309","-0.392","-0.266","0.035","-0.041","-0.104","-0.103","-0.112","-0.038","-0.116","-0.116","-0.116","-0.116","-0.116",""
"INTL.53-1-ECU-TBPD.A","        Ecuador","","","","","","","","207","214","214","240","261","284","295","175","303","281","286","301","324","348.52054794520546","369.9205479452055","395.827397260274","397.87814207650274","389.44520547945206","376.2986301369863","374.04383561643834","396.31137048834427","412.5113080865644","392.7185921789535","411.3417693434082","529.0058173634098","532.7554","536.3802191780821","511.4226","505.26866393442623","485.70717534246575","486.0975205479452","498.98002191780824","503.39607923497266","525.454408219178","556.0120575342465","542.546501369863","548.3787650273224","531.2812876712329","517.0785479452055","530.8621095890411",""
"INTL.53-1-EGY-TBPD.A","        Egypt","","","","","","","","613","616","691","753","848","915","826","911","873","899","901","907","883","898.1","903.8054794520548","929.5","933.6666666666666","869.7575342465753","848.3054794520548","872.5890410958904","793.3373379353444","748.0604841268274","742.5516913274138","744.0953803580328","700.0920713178198","682.7735479452055","662.735904109589","658.8939726027397","691.0547704918033","701.3859315068493","694.5144246575343","701.7456438356164","703.8978196721312","707.0143835616439","706.6114520547945","717.6934246575343","682.9041420765027","657.9684657534247","667.7958630136986","654.2588767123287",""
"INTL.53-1-SLV-TBPD.A","        El Salvador","","","","","","","","0","0","0","0","0","0","0.00263546031890413","-0.047689205260274","-0.0552833555857924","0.0150815799479452","-0.0615051709030137","-0.1","-0.0431070222896176","-0.017","0","0","-0.1","-0.3","-0.5","-0.6","-0.591263548147541","-0.669295752635616","-0.277765109912329","-0.10588980609863","-0.204290632510049","0.966","5.308","4.297","4.182","1.772","-0.52","-0.377","-0.317","0","0","0","0","0","0","0",""
"INTL.53-1-GNQ-TBPD.A","        Equatorial Guinea","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.1","1.6","4.5","5.010958904109589","5.001643835616439","17","52.42191780821918","83","102","167.50000000000014","181.43835616438355","212.56164383561645","206.46587671232896","368.20765027322403","375.4767123287671","362.86575342465756","368.52876712328765","359.20315300546446","346.01606849315067","322.7103835616438","298.8880328767123","310.4","290.7972602739726","278","268","244","205.7780821917808","184.23287671232876","166.76712328767124",""
"INTL.53-1-ERI-TBPD.A","        Eritrea","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","-0.3","-0.3","-0.3","-0.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-EST-TBPD.A","        Estonia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","-0.0825932803278689","-0.066","0","0","0","7.3","4.4","3","4.747","5.133617438334246","5.530404006728767","6.137964571539726","6.592042908633879","6.9","7.28","7.400021917808219","7.6","9","10","11","11","13","13","16","16","16","22","22",""
"INTL.53-1-SWZ-TBPD.A","        Eswatini","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.431","0.551","0.827","0.827","0.775","0.81","0.775","0.775","0.775","0.775",""
"INTL.53-1-ETH-TBPD.A","        Ethiopia","","","","","","","","0","0","0","0","0","0","-0.3","-0.3","-0.3","-0.3","-0.3","-0.05196","-0.1","-0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.167","0.211","0.296","0.354","0.354","0.354","0.354",""
